appid,name,type,is_free,release_date,developers,publishers,genres,categories,platform_windows,platform_mac,platform_linux,required_age,metacritic_score,recommendations,price_currency,initial_price,final_price,discount_percent
3057270,Seafarer's Gambit,game,False,"Jul 5, 2024",Bouncy Rocket Studios,Bouncy Rocket Studios,"Action, Adventure, Indie, RPG, Strategy","Single-player, Family Sharing",True,False,False,0,,,,,,
3822840,Capitalist Misadventures,game,False,"Jul 25, 2025",Caramelo Studios,Caramelo Studios,"Casual, Indie, Simulation, Strategy","Single-player, Save Anytime, Family Sharing",True,False,False,0,,,USD,799.0,799.0,0.0
3216640,The Beast and the Princess,game,False,"Jun 17, 2025",Libragames,Libragames,"Adventure, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Steam Cloud, Steam Leaderboards, Family Sharing",True,False,False,0,,,USD,1299.0,1299.0,0.0
2403620,Air Twister,game,False,"Nov 10, 2023",YS NET,ININ,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",True,False,False,0,,,USD,2499.0,2499.0,0.0
1538040,Horde Slayer,game,False,"Mar 19, 2021",Wagner Rodrigues,Wagner Rodrigues,"Action, Adventure, Casual, Indie, RPG, Early Access","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",True,False,True,0,,,USD,399.0,399.0,0.0
1724980,The Lone Blade,game,False,"May 23, 2023",Opia Games,"Opia Games, Plug In Digital","Action, Adventure, Indie","Single-player, Full controller support, Family Sharing",True,False,False,0,,,USD,999.0,999.0,0.0
3822820,Knight Crawler,game,True,"Jul 16, 2025",Taylor Conolley,Taylor Conolley,"Action, Indie, Free To Play","Single-player, Full controller support, Custom Volume Controls, Keyboard Only Option, Playable without Timed Input",True,False,False,0,,,,,,
3863460,No Sweet Looks,game,False,"Aug 28, 2025",halvardo13,halvardo13,"Action, Indie","Single-player, Steam Achievements, Full controller support, Save Anytime, Stereo Sound, Surround Sound, Family Sharing",True,False,False,0,,,USD,299.0,299.0,0.0
3216610,League Of Tacticians: Path of Tarkan,game,False,"May 21, 2025",Oba Games,Oba Games,"Adventure, RPG, Strategy","Single-player, Family Sharing",True,True,False,0,,,USD,599.0,599.0,0.0
3057250,Pennylooter,game,False,"Sep 8, 2025",Josh Sellers,Josh Sellers,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",True,False,False,0,,,USD,699.0,699.0,0.0
3015780,Escape From Hell,game,False,Coming soon,Manushins,Manushins,"Adventure, Casual, Indie, Early Access","Single-player, Steam Achievements, Family Sharing",True,False,False,0,,,,,,
1543710,Beyond Galaxyland,game,False,"Sep 24, 2024",Sam Enright,United Label,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",True,False,False,0,,282.0,USD,1499.0,494.0,67.0
1538030,Steinstern: Spacewar,game,False,"Mar 19, 2025",Chris Baum,Chris Baum,"Action, Casual, RPG","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing",True,False,True,0,,,USD,499.0,499.0,0.0
2002700,AI UNDER TEST,game,False,"Jun 13, 2022",Tlantico Studio,Tlantico Studio,"Indie, Strategy","Single-player, Steam Achievements, Family Sharing",True,True,False,0,,,USD,299.0,299.0,0.0
1340480,The Cosmic Wheel Sisterhood,game,False,"Aug 16, 2023",Deconstructeam,Devolver Digital,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",True,False,False,0,85.0,5218.0,USD,1799.0,1799.0,0.0
