"name","developers","publishers","final_price","recommendations","release_year"
"ELDEN RING","FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment","59.99","817390","2022"
"Battlefield™ 2042","DICE","Electronic Arts","59.99","259134","2021"
"It Takes Two Friend's Pass","Hazelight Studio","Electronic Arts",NULL,"212008","2021"
"Clair Obscur: Expedition 33","Sandfall Interactive","Kepler Interactive","47.99","174287","2025"
"Dispatch","AdHoc Studio","AdHoc Studio","29.99","165555","2025"
"Warhammer 40,000: Space Marine 2","Saber Interactive","Focus Entertainment","17.99","155555","2024"
"Balatro","LocalThunk","Playstack","14.99","154821","2024"
"Starfield","Bethesda Game Studios","Bethesda Softworks","49.99","113758","2023"
"Cult of the Lamb","Massive Monster","Devolver Digital","24.99","106868","2022"
"FIFA 22","EA Canada & EA Romania","Electronic Arts",NULL,"100568","2021"
"ARK: Survival Ascended","Studio Wildcard, Grove Street Games, Instinct Games","Studio Wildcard, Snail Games USA","11.24","95568","2023"
"Cookie Clicker","Orteil, DashNet","Playsaurus","4.99","85397","2021"
"The Outlast Trials","Red Barrels","Red Barrels","11.99","83513","2024"
"Farming Simulator 22","Giants Software","Giants Software","19.99","68081","2021"
"No Rest for the Wicked","Moon Studios GmbH","Moon Studios GmbH","39.99","62007","2024"
