"developers","game_count","avg_price","avg_recommendations"
"EroticGamesClub","37","3.33","0.00"
"Gamesforgames","30","24.86","0.00"
"Bully Revenge Studios","26","0.99","0.00"
"King Kong","23","1.14","0.00"
"Hard Shark Games","22","7.63","0.00"
"Cyber Keks","22","0.90","0.00"
"Archor Wright","20","0.95","0.00"
"EpiXR Games UG","20","9.49","0.00"
"Teamey","19","0.00","0.00"
"CyberStep, Inc., Rideon Works Co. Ltd,","19","17.88","0.00"
"NaipSoft","18","0.85","0.00"
"Boogygames Studios","18","0.65","0.00"
"Creobit","16","13.40","0.00"
"Anamik Majumdar","15","3.23","0.00"
"Cute Hannah's Games","15","1.70","0.00"
