"publishers","game_count","avg_price","avg_recommendations"
"8floor","40","12.18","0.00"
"EroticGamesClub","37","3.33","0.00"
"BFG Entertainment","35","17.99","0.00"
"Gamesforgames","30","24.86","0.00"
"Kagura Games","27","10.64","571.56"
"DigiPen Institute of Technology","27","0.00","0.00"
"Bully Revenge Studios","26","0.99","0.00"
"King Kong Gaming","23","1.14","0.00"
"Hard Shark Games","22","7.63","0.00"
"Cyber Keks","22","0.90","0.00"
"Pixel Games UK","21","4.99","0.00"
"Piece Of Voxel","21","0.87","0.00"
"SNEG","20","5.28","169.00"
"EpiXR Games UG","20","9.49","0.00"
"Archor Games","19","0.94","0.00"
