"name","developers","publishers","metacritic_score","recommendations","final_price","release_year"
"ELDEN RING","FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment","94","817390","59.99","2022"
"Cobalt Core","Rocket Rat Games","Brace Yourself Games","94","3923","19.99","2023"
"Mass Effect 2 (2010) Edition","BioWare","Electronic Arts","94","288","29.99","2023"
"Clair Obscur: Expedition 33","Sandfall Interactive","Kepler Interactive","91","174287","47.99","2025"
"Against the Storm","Eremite Games","Hooded Horse","91","32120","29.99","2023"
"Balatro","LocalThunk","Playstack","90","154821","14.99","2024"
"Guild Wars 2®","ArenaNet®","ArenaNet®, NCSOFT","90","467","0","2022"
"It Takes Two Friend's Pass","Hazelight Studio","Electronic Arts","89","212008",NULL,"2021"
"Thank Goodness You're Here!","Coal Supper","Panic","89","7277","19.99","2024"
"Fate/stay night REMASTERED","TYPE-MOON, fuzz Inc.","Aniplex Inc.","89","3944","20.99","2024"
"Trails in the Sky 1st Chapter","Nihon Falcom","GungHo Online Entertainment America, Inc.","89","3703","59.99","2025"
"NORCO","Geography of Robots","Raw Fury","89","2634","14.99","2022"
"despelote","Julián Cordero, Sebastian Valbuena","Panic","89","850","14.99","2025"
"Combat Mission 2: Barbarossa to Berlin","Battlefront.com","SNEG","89","0","3.95","2025"
"Rogue Legacy 2","Cellar Door Games","Cellar Door Games","88","14058","9.99","2022"
