"name","price_category","final_price","recommendations","release_year","rank_in_category"
"It Takes Two Friend's Pass","Free",NULL,"212008","2021","1"
"FIFA 22","Free",NULL,"100568","2021","2"
"Poppy Playtime","Free","0","38227","2021","3"
"Battlefield™ REDSEC","Free","0","9267","2025","4"
"EA SPORTS™ Madden NFL 25","Free",NULL,"4466","2024","5"
"SCP: Secret Files","Free",NULL,"3908","2022","6"
"SAMURAI SHODOWN","Free",NULL,"1649","2021","7"
"Game of Thrones: Kingsroad","Free","0","1243","2025","8"
"Disney Speedstorm","Free","0","1003","2023","9"
"OUTLAWED","Free",NULL,"958","2025","10"
"Fish Idle 2: Underwater Mystery","Free","0","691","2024","11"
"Ys X: Nordics","Free",NULL,"598","2024","12"
"Guild Wars 2®","Free","0","467","2022","13"
"Dysterra","Free","0","449","2025","14"
"Arcadegeddon","Free","0","420","2023","15"
"Hunter Roulette","Free",NULL,"414","2025","16"
"UpGun","Free","0","403","2021","17"
"A Date with Death","Free","0","390","2023","18"
"Capcom Arcade Stadium","Free","0","388","2021","19"
"Kingpin: Reloaded","Free",NULL,"363","2023","20"
"Scary Game","Free","0","292","2025","21"
"skate.","Free","0","278","2025","22"
"An Arcade Full of Cats","Free","0","273","2023","23"
"Bless Unleashed","Free","0","209","2021","24"
"Extremely Realistic Siege Warfare Simulator","Free","0","195","2022","25"
"Halo 3 Mod Tools - MCC","Free",NULL,"144","2021","26"
"Dice Eater: A Supernatural Mystery Card Game","Free","0","139","2025","27"
"Ms. Han's After-School Tutoring","Free","0","136","2021","28"
"Sewer Rave","Free","0","131","2021","29"
"奇趣博物馆","Free","0","0","2025","30"
"Argumentum ad culpam","Free","0","0","2024","30"
"PayGame","Free",NULL,"0",NULL,"30"
"That Potato Game","Free","0","0","2023","30"
"War Gun: Shooting Games Online","Free","0","0","2023","30"
"Slime Knight","Free","0","0","2023","30"
"Stackables","Free","0","0","2024","30"
"Pumpkin Clicker","Free","0","0","2024","30"
"Captain Collision","Free","0","0","2021","30"
"Vox in Tenebris","Free",NULL,"0",NULL,"30"
"Oxygen: First Breath","Free","0","0","2022","30"
"Time Raiders","Free",NULL,"0","2023","30"
"Empire Takeover","Free","0","0","2022","30"
"Little Postman","Free","0","0","2023","30"
"BLOKI","Free","0","0","2023","30"
"Recoil Control: The Adventures of Rico Ché","Free","0","0","2025","30"
"Smoke Break!","Free","0","0","2025","30"
"Emil: A Hero's Journey - Prologue","Free","0","0","2024","30"
"Burger Shift: Team Rush: Prologue","Free","0","0","2025","30"
"Bling Bling Bankruptcy","Free","0","0","2025","30"
"Starcade FACTIONS","Free","0","0","2025","30"
