"genre","game_count","avg_price","min_price","max_price"
"Sports","545","8.58","0.00","99.99"
"RPG","2786","8.08","0.00","199.99"
"Simulation","3305","8.00","0.00","199.99"
"Racing","496","7.95","0.00","99.99"
"Adventure","5910","7.75","0.00","500.00"
"Early Access","1448","7.70","0.00","199.99"
"Action","5639","7.23","0.00","500.00"
"Strategy","2989","7.16","0.00","199.99"
"Indie","10342","6.02","0.00","500.00"
"Casual","6944","5.91","0.00","500.00"
"Massively Multiplayer","284","2.97","0.00","49.99"
"Free To Play","1968","0.11","0.00","29.99"
