"name","price_category","final_price","avg_category_price","price_difference"
"On Roads Between","Free",NULL,"0.00",NULL
"On Call","Free",NULL,"0.00",NULL
"The Airflow Trials","Free",NULL,"0.00",NULL
"Liegecraft","Free",NULL,"0.00",NULL
"Oblivio","Free",NULL,"0.00",NULL
"The Forgotten Rooms","Free",NULL,"0.00",NULL
"IZEA:10puzzle Rogue-Lite RPG!","Free",NULL,"0.00",NULL
"Guns Undarkness","Free",NULL,"0.00",NULL
"Ninja Party","Free",NULL,"0.00",NULL
"Mech Assembler: Model Kit builder Simulator","Free",NULL,"0.00",NULL
"SUFFER 2","Free",NULL,"0.00",NULL
"Match Tree","Free",NULL,"0.00",NULL
"Lords of the Fallen - Free Friend's Pass","Free",NULL,"0.00",NULL
"Tainted ground","Free",NULL,"0.00",NULL
"Village Empires","Free",NULL,"0.00",NULL
"Neural Synapse","Free",NULL,"0.00",NULL
"Lost Ground","Free",NULL,"0.00",NULL
"SacriShot Matrix","Free",NULL,"0.00",NULL
"FPV Kamikaze Drone Simulator","Free",NULL,"0.00",NULL
"The Warp - Cephisso","Free",NULL,"0.00",NULL
"Imperium: Titans of Commerce","Free",NULL,"0.00",NULL
"Split Fiction - Friend's Pass","Free",NULL,"0.00",NULL
"Bar Night VR","Free",NULL,"0.00",NULL
"NecroArcher","Free",NULL,"0.00",NULL
"The Genetic Dilemma","Free",NULL,"0.00",NULL
"Just Another Supermarket","Free",NULL,"0.00",NULL
"Mana Lab","Free",NULL,"0.00",NULL
"Pebbles Quest","Free",NULL,"0.00",NULL
"Loop Fighter","Free",NULL,"0.00",NULL
"THE KNIGHT OF NEPHIART","Free",NULL,"0.00",NULL
