"name","genre","recommendations","avg_genre_recommendations","difference_from_genre_avg"
"ELDEN RING","Action","817390","602.31","816787.69"
"ELDEN RING","RPG","817390","855.27","816534.73"
"Battlefield™ 2042","Casual","259134","190.94","258943.06"
"Battlefield™ 2042","Adventure","259134","449.21","258684.79"
"Battlefield™ 2042","Action","259134","602.31","258531.69"
"It Takes Two Friend's Pass","Indie","212008","240.88","211767.12"
"It Takes Two Friend's Pass","Adventure","212008","449.21","211558.79"
"It Takes Two Friend's Pass","Action","212008","602.31","211405.69"
"Clair Obscur: Expedition 33","Action","174287","602.31","173684.69"
"Clair Obscur: Expedition 33","RPG","174287","855.27","173431.73"
"Dispatch","Casual","165555","190.94","165364.06"
"Dispatch","Indie","165555","240.88","165314.12"
"Dispatch","Strategy","165555","394.12","165160.88"
"Dispatch","Adventure","165555","449.21","165105.79"
"Dispatch","Action","165555","602.31","164952.69"
"Warhammer 40,000: Space Marine 2","Adventure","155555","449.21","155105.79"
"Warhammer 40,000: Space Marine 2","Action","155555","602.31","154952.69"
"Warhammer 40,000: Space Marine 2","RPG","155555","855.27","154699.73"
"Balatro","Casual","154821","190.94","154630.06"
"Balatro","Indie","154821","240.88","154580.12"
"Balatro","Strategy","154821","394.12","154426.88"
"Starfield","RPG","113758","855.27","112902.73"
"Cult of the Lamb","Indie","106868","240.88","106627.12"
"Cult of the Lamb","Strategy","106868","394.12","106473.88"
"Cult of the Lamb","Adventure","106868","449.21","106418.79"
"Cult of the Lamb","Action","106868","602.31","106265.69"
"FIFA 22","Sports","100568","300.86","100267.14"
"FIFA 22","Simulation","100568","338.94","100229.06"
"ARK: Survival Ascended","Indie","95568","240.88","95327.12"
"ARK: Survival Ascended","Early Access","95568","274.08","95293.92"
