"publishers","game_count","total_recommendations","avg_recommendations"
"Electronic Arts","10","594972","59497.20"
"Kepler Interactive","5","196611","39322.20"
"Devolver Digital","11","140032","12730.18"
"Activision","4","64308","16077.00"
"PlayStation Publishing LLC","6","57124","9520.67"
"Spiral Up Games","4","40554","10138.50"
"Ubisoft","3","34629","11543.00"
"CRITICAL REFLEX","5","30087","6017.40"
"WhisperGames","3","29237","9745.67"
"KOEI TECMO GAMES CO., LTD.","10","27698","2769.80"
"Team17","7","21766","3109.43"
"SEGA","5","21730","4346.00"
"Raw Fury","6","19155","3192.50"
"Bandai Namco Entertainment","6","17623","2937.17"
"KONAMI","5","15589","3117.80"
